./data_latencies/,,,,,
./data_latencies/S0.500000,,,,,
./data_latencies/S0.500000/H0.500000,,,,,
0.001,,,,,
17.3926298764,./data_latencies/S0.500000/H0.500000/brs_non_p,17.3926298764,,,
16.7726272853,./data_latencies/S0.500000/H0.500000/fuzzy_token,16.7726272853,,,
61.7401845928,./data_latencies/S0.500000/H0.500000/token,61.7401845928,,,
./data_latencies/S0.500000/H0.700000,,24.3323811762,,,
0.001,,24.9841456453,,,
24.3323811762,./data_latencies/S0.500000/H0.700000/brs_non_p,90.8111009793,,,
24.9841456453,./data_latencies/S0.500000/H0.700000/fuzzy_token,41.4787859302,,,16.8679685593
90.8111009793,./data_latencies/S0.500000/H0.700000/token,37.621397829,,,16.7251742753
./data_latencies/S0.500000/H0.850000,,158.58494586,,,60.8304386284
0.001,,,,,22.415537601
41.4787859302,./data_latencies/S0.500000/H0.850000/brs_non_p,,,,22.6022080974
37.621397829,./data_latencies/S0.500000/H0.850000/fuzzy_token,,,,88.9515358883
158.58494586,./data_latencies/S0.500000/H0.850000/token,,,,41.0448958023
./data_latencies/S100.000000,,,,,40.9551764043
./data_latencies/S100.000000/H0.500000,,,,,147.701737281
0.001,,,,,
16.8679685593,./data_latencies/S100.000000/H0.500000/brs_non_p,,,,
16.7251742753,./data_latencies/S100.000000/H0.500000/fuzzy_token,,,,
60.8304386284,./data_latencies/S100.000000/H0.500000/token,,,,
./data_latencies/S100.000000/H0.700000,,,,,
0.001,,,,,
22.415537601,./data_latencies/S100.000000/H0.700000/brs_non_p,,,,
22.6022080974,./data_latencies/S100.000000/H0.700000/fuzzy_token,,,,
88.9515358883,./data_latencies/S100.000000/H0.700000/token,,,,
./data_latencies/S100.000000/H0.850000,,,,,
0.001,,,,,
41.0448958023,./data_latencies/S100.000000/H0.850000/brs_non_p,,,,
40.9551764043,./data_latencies/S100.000000/H0.850000/fuzzy_token,,,,
147.701737281,./data_latencies/S100.000000/H0.850000/token,,,,
